seed,model,person,n_images,recall
2026,Model_A,person055,52,0.5192307692307693
2026,Model_A,person056,52,0.15384615384615385
2026,Model_A,person057,52,0.07692307692307693
2026,Model_A,person058,52,0.7307692307692307
2026,Model_A,person059,52,0.07692307692307693
2026,Model_A,person060,52,0.07692307692307693
2026,Model_A,person061,52,0.25
2026,Model_A,person062,52,0.38461538461538464
2026,Model_A,person063,52,0.09615384615384616
2026,Model_A,person064,52,0.19230769230769232
2026,Model_A,person065,52,0.1346153846153846
2026,Model_A,person066,52,0.25
2026,Model_A,person067,52,0.07692307692307693
2026,Model_A,person068,52,0.15384615384615385
2026,Model_A,person069,52,0.09615384615384616
2026,Model_A,person070,52,0.34615384615384615
2026,Model_A,person071,52,0.09615384615384616
2026,Model_A,person072,52,0.09615384615384616
2026,Model_A,person073,52,0.11538461538461539
2026,Model_A,person074,52,0.25
2026,Model_A,person075,52,0.09615384615384616
2026,Model_A,person076,52,0.3076923076923077
2026,Model_A,person077,52,0.15384615384615385
2026,Model_A,person078,52,0.23076923076923078
2026,Model_A,person079,52,0.40384615384615385
2026,Model_A,person080,52,0.07692307692307693
2026,Model_A,person081,52,0.15384615384615385
2026,Model_A,person082,52,0.07692307692307693
2026,Model_A,person083,52,0.07692307692307693
2026,Model_A,person084,52,0.1346153846153846
2026,Model_A,person085,52,0.07692307692307693
2026,Model_A,person086,52,0.28846153846153844
2026,Model_A,person087,52,0.23076923076923078
2026,Model_A,person088,52,0.07692307692307693
2026,Model_A,person089,52,0.21153846153846154
2026,Model_A,person090,52,0.19230769230769232
2026,Model_A,person091,52,0.15384615384615385
2026,Model_A,person092,52,0.15384615384615385
2026,Model_A,person093,52,0.21153846153846154
2026,Model_A,person094,52,0.11538461538461539
2026,Model_A,person095,52,0.2692307692307692
2026,Model_A,person096,52,0.15384615384615385
2026,Model_A,person097,52,0.28846153846153844
2026,Model_A,person098,52,0.1346153846153846
2026,Model_A,person099,52,0.07692307692307693
2026,Model_A,person100,52,0.09615384615384616
2026,Model_A,person101,52,0.07692307692307693
2026,Model_A,person102,52,0.07692307692307693
2026,Model_A,person103,52,0.09615384615384616
2026,Model_A,person104,52,0.1346153846153846
2026,Model_A,person105,52,0.09615384615384616
2026,Model_A,person106,52,0.21153846153846154
2026,Model_A,person107,52,0.07692307692307693
2026,Model_A,person108,52,0.07692307692307693
2026,Model_A,person109,52,0.3269230769230769
2026,Model_A,person110,52,0.15384615384615385
2026,Model_A,person111,52,0.15384615384615385
2026,Model_A,person112,52,0.3076923076923077
2026,Model_A,person113,52,0.09615384615384616
2026,Model_A,person114,52,0.23076923076923078
2026,Model_A,person115,52,0.25
2026,Model_A,person116,52,0.07692307692307693
2026,Model_A,person117,52,0.17307692307692307
2026,Model_A,person118,52,0.25
2026,Model_A,person119,52,0.3076923076923077
2026,Model_A,person120,52,0.1346153846153846
2026,Model_A,person121,52,0.07692307692307693
2026,Model_A,person122,52,0.09615384615384616
2026,Model_A,person123,52,0.2692307692307692
2026,Model_A,person124,52,0.3076923076923077
2026,Model_A,person125,52,0.23076923076923078
2026,Model_A,person126,52,0.75
2026,Model_A,person127,52,0.07692307692307693
2026,Model_A,person128,52,0.09615384615384616
2026,Model_A,person129,52,0.1346153846153846
2026,Model_A,person130,52,0.15384615384615385
2026,Model_A,person131,52,0.3076923076923077
2026,Model_A,person132,52,0.15384615384615385
2026,Model_A,person133,52,0.09615384615384616
2026,Model_A,person134,52,0.4423076923076923
2026,Model_A,person135,52,0.11538461538461539
2026,Model_A,person136,52,0.07692307692307693
2026,Model_A,person137,52,0.1346153846153846
2026,Model_A,person138,52,0.07692307692307693
2026,Model_A,person139,52,0.4230769230769231
2026,Model_A,person140,52,0.2692307692307692
2026,Model_A,person141,52,0.2692307692307692
2026,Model_A,person142,52,0.1346153846153846
2026,Model_A,person143,52,0.07692307692307693
2026,Model_A,person144,52,0.07692307692307693
2026,Model_A,person145,52,0.07692307692307693
2026,Model_A,person146,52,0.07692307692307693
2026,Model_A,person147,52,0.11538461538461539
2026,Model_A,person148,52,0.07692307692307693
2026,Model_A,person149,52,0.17307692307692307
2026,Model_A,person150,52,0.07692307692307693
2026,Model_A,person151,52,0.15384615384615385
2026,Model_A,person152,52,0.07692307692307693
2026,Model_A,person153,52,0.07692307692307693
2026,Model_B,person001,52,0.9230769230769231
2026,Model_B,person002,52,0.6923076923076923
2026,Model_B,person003,52,0.9615384615384616
2026,Model_B,person004,52,0.9038461538461539
2026,Model_B,person005,52,0.8076923076923077
2026,Model_B,person006,52,0.9038461538461539
2026,Model_B,person007,52,0.8461538461538461
2026,Model_B,person008,52,0.9807692307692307
2026,Model_B,person009,52,0.75
2026,Model_B,person010,52,0.9038461538461539
2026,Model_B,person011,52,0.8076923076923077
2026,Model_B,person012,52,0.8076923076923077
2026,Model_B,person013,52,0.9423076923076923
2026,Model_B,person014,52,0.8076923076923077
2026,Model_B,person015,52,0.9807692307692307
2026,Model_B,person016,52,0.8653846153846154
2026,Model_B,person017,52,0.9807692307692307
2026,Model_B,person018,52,0.8653846153846154
2026,Model_B,person019,52,0.9615384615384616
2026,Model_B,person020,52,0.9230769230769231
2026,Model_B,person021,52,0.9807692307692307
2026,Model_B,person022,52,0.8269230769230769
2026,Model_B,person023,52,0.8461538461538461
2026,Model_B,person024,52,0.9230769230769231
2026,Model_B,person025,52,0.6923076923076923
2026,Model_B,person026,52,0.9038461538461539
2026,Model_B,person027,52,0.8269230769230769
2026,Model_B,person028,52,0.8269230769230769
2026,Model_B,person029,52,0.9230769230769231
2026,Model_B,person030,52,0.7884615384615384
2026,Model_B,person031,52,0.8269230769230769
2026,Model_B,person032,52,0.8269230769230769
2026,Model_B,person033,52,0.7884615384615384
2026,Model_B,person034,52,0.9615384615384616
2026,Model_B,person035,52,0.9615384615384616
2026,Model_B,person036,52,0.9615384615384616
2026,Model_B,person037,52,0.8653846153846154
2026,Model_B,person038,52,0.75
2026,Model_B,person039,52,0.7692307692307693
2026,Model_B,person040,52,0.8653846153846154
2026,Model_B,person041,52,0.7115384615384616
2026,Model_B,person042,52,0.9038461538461539
2026,Model_B,person043,52,0.9423076923076923
2026,Model_B,person044,52,0.8846153846153846
2026,Model_B,person045,52,0.8461538461538461
2026,Model_B,person046,52,0.7884615384615384
2026,Model_B,person047,52,0.7692307692307693
2026,Model_B,person048,52,0.8269230769230769
2026,Model_B,person049,52,0.7884615384615384
2026,Model_B,person050,52,0.8461538461538461
2026,Model_B,person051,52,0.7884615384615384
2026,Model_B,person052,52,0.7307692307692307
2026,Model_B,person053,52,0.8269230769230769
2026,Model_B,person054,52,0.8846153846153846
2026,Model_B,person055,52,0.9615384615384616
2026,Model_B,person056,52,0.7692307692307693
2026,Model_B,person057,52,0.9423076923076923
2026,Model_B,person058,52,0.9423076923076923
2026,Model_B,person059,52,0.9615384615384616
2026,Model_B,person060,52,0.9807692307692307
2026,Model_B,person061,52,0.9230769230769231
2026,Model_B,person062,52,0.8076923076923077
2026,Model_B,person063,52,0.9423076923076923
2026,Model_B,person064,52,0.9615384615384616
2026,Model_B,person065,52,0.8461538461538461
2026,Model_B,person066,52,0.8269230769230769
2026,Model_B,person067,52,0.6538461538461539
2026,Model_B,person068,52,0.9423076923076923
2026,Model_B,person069,52,0.8461538461538461
2026,Model_B,person070,52,0.8076923076923077
2026,Model_B,person071,52,0.8846153846153846
2026,Model_B,person072,52,0.8461538461538461
2026,Model_B,person073,52,0.7692307692307693
2026,Model_B,person074,52,0.7884615384615384
2026,Model_B,person075,52,0.9423076923076923
2026,Model_B,person076,52,0.9615384615384616
2026,Model_B,person077,52,0.9038461538461539
2026,Model_B,person078,52,0.9423076923076923
2026,Model_B,person079,52,0.8269230769230769
2026,Model_B,person080,52,0.9807692307692307
2026,Model_B,person081,52,0.9230769230769231
2026,Model_B,person082,52,0.8076923076923077
2026,Model_B,person083,52,0.8846153846153846
2026,Model_B,person084,52,0.9615384615384616
2026,Model_B,person085,52,0.7307692307692307
2026,Model_B,person086,52,0.75
2026,Model_B,person087,52,0.8461538461538461
2026,Model_B,person088,52,0.9615384615384616
2026,Model_B,person089,52,0.7692307692307693
2026,Model_B,person090,52,0.9807692307692307
2026,Model_B,person091,52,0.7884615384615384
2026,Model_B,person092,52,0.9038461538461539
2026,Model_B,person093,52,0.8461538461538461
2026,Model_B,person094,52,0.8461538461538461
2026,Model_B,person095,52,0.9423076923076923
2026,Model_B,person096,52,0.8269230769230769
2026,Model_B,person097,52,0.8269230769230769
2026,Model_B,person098,52,0.9038461538461539
2026,Model_B,person099,52,0.9807692307692307
2026,Model_B,person100,52,0.9230769230769231
2026,Model_B,person101,52,0.8461538461538461
2026,Model_B,person102,52,0.8461538461538461
2026,Model_B,person103,52,0.8076923076923077
2026,Model_B,person104,52,0.8846153846153846
2026,Model_B,person105,52,0.7884615384615384
2026,Model_B,person106,52,0.8846153846153846
2026,Model_B,person107,52,0.8653846153846154
2026,Model_B,person108,52,0.75
2026,Model_B,person109,52,0.8846153846153846
2026,Model_B,person110,52,0.7692307692307693
2026,Model_B,person111,52,0.9423076923076923
2026,Model_B,person112,52,0.7692307692307693
2026,Model_B,person113,52,0.8846153846153846
2026,Model_B,person114,52,0.9230769230769231
2026,Model_B,person115,52,0.8461538461538461
2026,Model_B,person116,52,0.9615384615384616
2026,Model_B,person117,52,0.9230769230769231
2026,Model_B,person118,52,0.8846153846153846
2026,Model_B,person119,52,0.8846153846153846
2026,Model_B,person120,52,0.7884615384615384
2026,Model_B,person121,52,0.8076923076923077
2026,Model_B,person122,52,0.8846153846153846
2026,Model_B,person123,52,0.8846153846153846
2026,Model_B,person124,52,0.8076923076923077
2026,Model_B,person125,52,0.8076923076923077
2026,Model_B,person126,52,0.9038461538461539
2026,Model_B,person127,52,0.8653846153846154
2026,Model_B,person128,52,0.8846153846153846
2026,Model_B,person129,52,0.8461538461538461
2026,Model_B,person130,52,0.9615384615384616
2026,Model_B,person131,52,0.7884615384615384
2026,Model_B,person132,52,0.8653846153846154
2026,Model_B,person133,52,0.9423076923076923
2026,Model_B,person134,52,0.9038461538461539
2026,Model_B,person135,52,0.8653846153846154
2026,Model_B,person136,52,0.8461538461538461
2026,Model_B,person137,52,0.9038461538461539
2026,Model_B,person138,52,0.7884615384615384
2026,Model_B,person139,52,0.8269230769230769
2026,Model_B,person140,52,0.7884615384615384
2026,Model_B,person141,52,0.8846153846153846
2026,Model_B,person142,52,0.8846153846153846
2026,Model_B,person143,52,0.9230769230769231
2026,Model_B,person144,52,0.8846153846153846
2026,Model_B,person145,52,0.7692307692307693
2026,Model_B,person146,52,0.6346153846153846
2026,Model_B,person147,52,0.8461538461538461
2026,Model_B,person148,52,0.75
2026,Model_B,person149,52,0.7884615384615384
2026,Model_B,person150,52,0.8076923076923077
2026,Model_B,person151,52,0.7692307692307693
2026,Model_B,person152,52,0.6346153846153846
2026,Model_B,person153,52,0.8653846153846154
